Date,Close,Open,High,Low,Volume,Change%
2023-02-28,"1,024.68","1,021.25","1,034.36","1,018.72",432.96K,0.34%
2023-02-27,"1,021.25","1,039.56","1,039.56","1,017.55",588.61K,-1.76%
2023-02-24,"1,039.56","1,053.66","1,053.66","1,034.66",430.41K,-1.34%
2023-02-23,"1,053.66","1,054.28","1,054.48","1,030.58",720.75K,-0.06%
2023-02-22,"1,054.28","1,082.23","1,082.23","1,054.28",814.01K,-2.58%
2023-02-21,"1,082.23","1,086.69","1,095.10","1,081.80",720.35K,-0.41%
2023-02-20,"1,086.69","1,059.74","1,088.01","1,059.56",682.29K,2.58%
2023-02-17,"1,059.31","1,058.29","1,062.25","1,053.26",465.08K,0.10%
2023-02-16,"1,058.29","1,048.20","1,058.29","1,047.45",475.80K,0.96%
2023-02-15,"1,048.20","1,038.64","1,051.89","1,034.39",585.76K,0.92%
2023-02-14,"1,038.64","1,043.70","1,046.64","1,032.76",395.73K,-0.48%
2023-02-13,"1,043.70","1,055.30","1,055.30","1,031.70",681.32K,-1.10%
2023-02-10,"1,055.30","1,064.03","1,066.28","1,054.08",463.94K,-0.82%
2023-02-09,"1,064.03","1,072.22","1,075.20","1,064.03",473.85K,-0.76%
2023-02-08,"1,072.22","1,065.84","1,079.51","1,063.50",569.32K,0.60%
2023-02-07,"1,065.84","1,089.29","1,092.12","1,065.18",673.21K,-2.15%
2023-02-06,"1,089.29","1,077.15","1,089.29","1,067.24",527.01K,1.13%
2023-02-03,"1,077.15","1,077.59","1,081.89","1,070.46",563.83K,-0.04%
2023-02-02,"1,077.59","1,075.97","1,083.36","1,070.81",634.74K,0.15%
2023-02-01,"1,075.97","1,111.18","1,116.96","1,075.97",1.03M,-3.17%
2023-01-31,"1,111.18","1,102.57","1,111.18","1,088.25",748.42K,0.78%
2023-01-30,"1,102.57","1,117.10","1,118.46","1,102.57",798.68K,-1.30%
2023-01-27,"1,117.10","1,108.08","1,124.30","1,108.08",604.93K,0.81%
2023-01-19,"1,108.08","1,098.28","1,111.72","1,094.46",617.71K,0.89%
